Name,Year,Genre,Publisher,North America,Europe,Japan,Other,Global
Skylanders SWAP Force,2013,Platform,Activision,0.2,0.12,0,0.05,0.37
Rock Band 4,2015,Misc,Harmonix Music Systems,0.25,0.05,0,0.07,0.37
Resident Evil Zero,2016,Action,Capcom,0.09,0.17,0.05,0.05,0.36
Farming Simulator 2015,2015,Simulation,Koch Media,0.1,0.2,0,0.05,0.35
Just Dance 2016,2015,Misc,Ubisoft,0.16,0.13,0,0.06,0.35
Persona 5,2016,Role-Playing,Atlus,0,0,0.34,0,0.34
Dead or Alive 5,2015,Fighting,Tecmo Koei,0.09,0.13,0.08,0.04,0.33
Deus Ex: Mankind Divided,2016,Role-Playing,Square Enix,0.1,0.18,0,0.05,0.33
Murdered: Soul Suspect,2014,Action,Square Enix,0.09,0.16,0.02,0.05,0.32
TrackMania Turbo,2016,Action,Ubisoft,0.03,0.24,0,0.05,0.32
DiRT Rally,2016,Racing,Codemasters,0.03,0.24,0,0.05,0.32
Mirror's Edge Catalyst,2016,Platform,Electronic Arts,0.1,0.14,0.02,0.06,0.32
Homefront: The Revolution,2016,Shooter,Deep Silver,0.05,0.19,0.03,0.04,0.31
DmC: Devil May Cry,2015,Action,Capcom,0.12,0.13,0,0.05,0.3
Dynasty Warriors 8: Xtreme Legends,2014,Action,Tecmo Koei,0.09,0.11,0.06,0.04,0.3
Tropico 5,2015,Simulation,Kalypso Media,0.05,0.16,0.05,0.04,0.3
Skylanders: SuperChargers,2015,Action,Activision,0.17,0.08,0,0.05,0.3
Star Ocean 5: Integrity and Faithlessness,2016,Role-Playing,Square Enix,0.06,0.07,0.14,0.02,0.3
One Piece: Burning Blood,2016,Fighting,Namco Bandai Games,0.1,0.08,0.07,0.04,0.28
Pro Evolution Soccer 2017,2016,Sports,Konami Digital Entertainment,0.01,0.16,0.09,0.03,0.28
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,2016,Action,Square Enix,0,0,0.28,0,0.28
UEFA Euro 2016,2016,Sports,Konami Digital Entertainment,0,0.21,0.03,0.03,0.28
Deadpool,2015,Action,Activision,0.13,0.1,0,0.05,0.28
Divinity: Original Sin,2015,Role-Playing,Focus Home Interactive,0.09,0.12,0.02,0.04,0.27
Disgaea 5: Alliance of Vengeance,2015,Role-Playing,Nippon Ichi Software,0.1,0.08,0.06,0.04,0.27
Sherlock Holmes: Crimes & Punishments,2014,Adventure,Focus Home Interactive,0.08,0.14,0,0.05,0.27
F1 2016 (Codemasters),2016,Racing,Codemasters,0.01,0.21,0.01,0.04,0.27
Payday 2,2015,Shooter,505 Games,0.09,0.14,0,0.04,0.27
Tearaway Unfolded,2015,Platform,Sony Computer Entertainment,0.09,0.12,0,0.04,0.25
J Stars Victory Vs.,2015,Fighting,Namco Bandai Games,0.07,0.14,0,0.04,0.25
Samurai Warriors 4,2014,Action,Tecmo Koei,0.08,0.07,0.06,0.03,0.24
Onechanbara Z2: Chaos,2014,Action,Nippon Ichi Software,0.13,0.02,0.04,0.04,0.24
The Walking Dead: Season Two,2014,Adventure,Telltale Games,0.1,0.09,0.01,0.04,0.24
Sword Art Online: Lost Song,2015,Role-Playing,Namco Bandai Games,0.09,0.1,0,0.04,0.23
NBA Live 15,2014,Sports,Electronic Arts,0.15,0.04,0,0.04,0.23
Rocket League,2016,Sports,505 Games,0.02,0.14,0,0.07,0.23
Battleborn,2016,Shooter,Take-Two Interactive,0.09,0.08,0.01,0.04,0.22
Dragon Quest Builders: Revive Alefgard,2016,Role-Playing,Square Enix,0,0,0.22,0,0.22
Tales of Berseria,2016,Role-Playing,Namco Bandai Games,0,0,0.22,0,0.22
Transformers: Devastation,2015,Action,Activision,0.1,0.08,0,0.04,0.22
Darksiders II,2015,Action,Nordic Games,0.09,0.1,0,0.04,0.22
NBA Live 14,2013,Sports,Electronic Arts,0.14,0.05,0,0.03,0.22
Ride,2015,Racing,Milestone S.r.l.,0.03,0.13,0.03,0.03,0.22
Transformer: Rise of the Dark Spark,2014,Action,Activision,0.07,0.1,0.01,0.04,0.21
The Wolf Among Us,2014,Adventure,Telltale Games,0.1,0.07,0,0.03,0.21
Attack on Titan (KOEI),2016,Action,Tecmo Koei,0.02,0.06,0.11,0.02,0.2
NHL 17,2016,Sports,Electronic Arts,0.13,0.04,0,0.04,0.2
Angry Birds Star Wars,2013,Strategy,Activision,0.1,0.08,0,0.03,0.2
Tony Hawk's Pro Skater 5,2015,Sports,Activision,0.09,0.08,0,0.03,0.2
BioShock The Collection,2016,Shooter,Take-Two Interactive,0.05,0.11,0.01,0.03,0.2
Zombie Army Trilogy,2015,Shooter,Rebellion Developments,0.04,0.12,0,0.03,0.2
Bound By Flame,2014,Role-Playing,Focus Home Interactive,0.07,0.08,0,0.04,0.19
The Heavy Rain and Beyond: Two Souls Collection,2016,Action,Sony Computer Entertainment,0,0.16,0,0.03,0.19
Singstar: Ultimate Party,2014,Misc,Sony Computer Entertainment Europe,0,0.16,0,0.03,0.19
MotoGP 14,2014,Racing,Milestone S.r.l.,0.04,0.11,0,0.04,0.18
Dynasty Warriors 8: Empires,2014,Action,Tecmo Koei,0.06,0.07,0.03,0.02,0.18
Odin Sphere: Leifthrasir,2016,Role-Playing,Nippon Ichi Software,0.06,0.03,0.07,0.02,0.18
Godzilla (2015),2014,Action,Namco Bandai Games,0.1,0.03,0.02,0.03,0.18
Back to the Future: The Game,2015,Adventure,Telltale Games,0.1,0.04,0,0.03,0.17
Yakuza Zero: The Place of Oath,2015,Action,Sega,0,0,0.17,0,0.17
NBA Live 16,2015,Sports,Electronic Arts,0.1,0.04,0,0.03,0.17
MotoGP 15,2015,Racing,Milestone S.r.l.,0,0.12,0.03,0.02,0.17
Jikkyou Powerful Pro Baseball 2016,2016,Sports,Konami Digital Entertainment,0,0,0.17,0,0.17
Valkyria Chronicles,2016,Role-Playing,Sega,0.06,0.04,0.05,0.02,0.17
Toukiden Kiwami,2015,Action,Tecmo Koei,0.05,0.07,0.02,0.02,0.17
Senran Kagura: Estival Versus,2015,Action,Marvelous Interactive,0.07,0,0.08,0.02,0.17
Bladestorm: Nightmare,2015,Action,Tecmo Koei,0.07,0.04,0.03,0.02,0.16
Yakuza Kiwami,2016,Adventure,Sega,0,0,0.16,0,0.16
Guilty Gear Xrd: Sign,2014,Fighting,Arc System Works,0.1,0,0.04,0.02,0.16
Putty Squad,2013,Platform,System 3,0.06,0.07,0,0.02,0.16
Saint Seiya: Soldiers' Soul,2015,Fighting,Namco Bandai Games,0,0.09,0.04,0.02,0.15
Warriors Orochi 3,2014,Action,Tecmo Koei,0.04,0.05,0.04,0.02,0.15
Yakuza: Ishin,2014,Action,Sega,0,0,0.15,0,0.15
BlazBlue: Chrono Phantasma Extend,2015,Action,PQube,0.07,0.03,0.02,0.02,0.14
Brothers: A Tale of Two Sons,2015,Adventure,505 Games,0.03,0.08,0,0.02,0.13
Gravity Rush Remastered,2015,Action,Sony Computer Entertainment,0.02,0.05,0.04,0.01,0.13
Final Fantasy XIV: Heavensward,2015,Action,Square Enix,0,0.05,0.06,0.01,0.12
7 Days to Die,2016,Action,Telltale Games,0.03,0.07,0,0.02,0.12
Don Bradman Cricket 14,2015,Sports,Tru Blu Entertainment,0.01,0.09,0,0.02,0.12
Sword Art Online: Hollow Fragment,2015,Role-Playing,Namco Bandai Games,0,0.1,0,0.02,0.12
Dead Island Definitive Collection,2016,Action,Deep Silver,0.02,0.07,0.01,0.02,0.12
Akiba's Trip: Undead & Undressed,2014,Action,Acquire,0.08,0,0.01,0.02,0.11
Samurai Warriors 4-II,2015,Action,Tecmo Koei,0.03,0.02,0.06,0.01,0.11
Digimon Story: Cyber Sleuth,2016,Role-Playing,Namco Bandai Games,0,0.09,0,0.02,0.11
Rugby 15,2015,Sports,Bigben Interactive,0.03,0.06,0,0.02,0.11
God Eater 2: Rage Burst,2015,Role-Playing,Namco Bandai Games,0,0.01,0.09,0,0.1
Wasteland 2,2015,Role-Playing,Deep Silver,0.07,0,0.01,0.02,0.1
Atelier Sophie: The Alchemist of the Mysterious Book,2015,Role-Playing,Tecmo Koei,0.01,0.02,0.06,0.01,0.1
Earth Defense Force 2025.1: The Shadow of New Despair,2015,Action,D3Publisher,0,0,0.1,0,0.1
Ultra Street Fighter IV,2015,Fighting,Capcom,0,0.08,0,0.01,0.1
Natural Doctrine,2014,Role-Playing,Nippon Ichi Software,0.05,0.02,0.02,0.01,0.1
Gundam Breaker 3,2016,Action,Namco Bandai Games,0,0,0.09,0,0.09
The King of Fighters XIV,2016,Fighting,Deep Silver,0.04,0.01,0.03,0.01,0.09
The Crew: Wild Run,2015,Action,Ubisoft,0,0.08,0,0.01,0.09
Devil May Cry 4,2015,Action,Capcom,0.01,0,0.08,0,0.09
The Idolmaster: Platinum Stars,2016,Simulation,Namco Bandai Games,0,0,0.09,0,0.09
Super Robot Wars OG: The Moon Dwellers,2016,Misc,Namco Bandai Games,0,0,0.09,0,0.09
Samurai Warriors 4: Empires,2015,Action,Tecmo Koei,0.02,0.01,0.05,0.01,0.09
Adventure Time: Finn & Jake Investigations,2015,Action,Little Orbit,0.03,0.04,0,0.01,0.09
Lara Croft and the Temple of Osiris,2014,Action,Square Enix,0,0.07,0,0.01,0.08
Arslan: The Warriors of Legend,2015,Action,Tecmo Koei,0.02,0.01,0.04,0.01,0.08
God Eater Resurrection,2015,Action,Namco Bandai Games,0,0,0.08,0,0.08
Toukiden 2,2016,Action,Tecmo Koei,0,0,0.08,0,0.08
The Witch and the Hundred Knight,2015,Role-Playing,Nippon Ichi Software,0.02,0.01,0.05,0.01,0.08
MXGP 2,2016,Racing,Milestone S.r.l.,0.02,0.05,0,0.01,0.08
Assassin's Creed Chronicles,2016,Action,Ubisoft,0.01,0.05,0.01,0.01,0.08
The Golf Club,2014,Sports,Unknown,0.05,0.02,0,0.01,0.08
Dragon's Dogma Online,2015,Role-Playing,Capcom,0,0,0.08,0,0.08
Shovel Knight,2015,Platform,Yacht Club Games,0.03,0.03,0,0.01,0.08
Yoru no Nai Kuni,2015,Role-Playing,Tecmo Koei,0,0,0.08,0,0.08
Mega Man Legacy Collection,2016,Platform,Capcom,0.06,0,0,0.01,0.07
Teenage Mutant Ninja Turtles: Mutants in Manhattan,2016,Action,Activision,0.04,0.02,0,0.01,0.07
Guilty Gear Xrd -Revelator-,2016,Fighting,PQube,0.02,0,0.05,0,0.07
Toy Soldiers: War Chest,2015,Action,Ubisoft,0.06,0,0,0.01,0.07
Grand Ages: Medieval,2015,Strategy,Kalypso Media,0,0.05,0.01,0.01,0.07
Resident Evil 6,2016,Shooter,Capcom,0.05,0,0,0.01,0.07
The Book of Unwritten Tales 2,2015,Adventure,Nordic Games,0,0.06,0,0.01,0.07
Fairy Fencer F: Advent Dark Force,2015,Role-Playing,Idea Factory International,0.02,0,0.05,0,0.07
Broken Sword 5: The Serpent's Curse,2015,Adventure,Revolution Software,0,0.06,0,0.01,0.06
Legend of Kay,2015,Action,Nordic Games,0.02,0.03,0,0.01,0.06
Song of the Deep,2016,Action,Insomniac Games,0.05,0,0,0.01,0.06
Valentino Rossi: The Game,2016,Racing,Namco Bandai Games,0.01,0.05,0,0.01,0.06
Terraria,2014,Action,505 Games,0,0.05,0.01,0.01,0.06
Risen 3: Titan Lords,2015,Role-Playing,Deep Silver,0,0.05,0,0.01,0.06
Destiny: The Collection,2016,Shooter,Activision,0.01,0.04,0,0.01,0.06
Project Setsuna,2016,Role-Playing,Square Enix,0,0,0.06,0,0.06
Romance of the Three Kingdoms 13,2015,Action,Tecmo Koei,0.01,0,0.05,0,0.06
Utawarerumono: Itsuwari no Kamen,2015,Adventure,Aqua Plus,0,0,0.06,0,0.06
Rugby World Cup 2015,2015,Sports,Ubisoft,0,0.05,0,0.01,0.06
Nights of Azure,2015,Action,Tecmo Koei,0.03,0.02,0,0.01,0.06
MX vs. ATV Supercross Encore,2015,Sports,Nordic Games,0,0.05,0,0.01,0.06
Handball 16,2015,Sports,Bigben Interactive,0,0.05,0,0.01,0.06
Grand Kingdom,2015,Role-Playing,Nippon Ichi Software,0.02,0,0.03,0,0.06
Nobunaga no Yabou: Souzou,2014,Strategy,Tecmo Koei,0,0,0.06,0,0.06
Kamen Rider: Battride War Genesis,2016,Action,Namco Bandai Games,0,0,0.05,0,0.05
ZombiU,2016,Action,Ubisoft,0,0.04,0.01,0.01,0.05
Arcania: Gothic 4,2015,Role-Playing,Nordic Games,0.04,0,0,0.01,0.05
Dead or Alive Xtreme 3: Fortune,2016,Sports,Tecmo Koei,0,0,0.05,0,0.05
WRC 5: FIA World Rally Championship,2015,Sports,Bigben Interactive,0,0.04,0,0.01,0.05
Earth Defense Force 4.1: The Shadow of New Despair,2015,Shooter,Xseed Games,0.02,0.02,0,0.01,0.05
Assetto Corsa,2016,Racing,505 Games,0,0.04,0,0.01,0.05
Child of Light,2014,Role-Playing,Ubisoft,0,0.01,0.04,0,0.05
The Technomancer,2016,Role-Playing,Focus Home Interactive,0.01,0.03,0,0.01,0.05
Steins;Gate 0,2015,Adventure,PQube,0,0,0.05,0,0.05
Sengoku Basara 4: Sumeragi,2015,Action,Capcom,0,0,0.05,0,0.05
Pro Cycling Manager 2016,2016,Sports,Focus Home Interactive,0,0.04,0,0.01,0.05
Sword Art Online: Game Director's Edition,2015,Role-Playing,Namco Bandai Games,0,0,0.05,0,0.05
Saints Row: Gat out of Hell,2015,Action,Deep Silver,0,0.04,0,0.01,0.05
Game of Thrones (Telltale),2015,Adventure,Telltale Games,0.04,0,0,0.01,0.05
Mighty No. 9,2016,Platform,Deep Silver,0.04,0,0,0.01,0.05
Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,2016,Misc,Tecmo Koei,0,0,0.04,0,0.04
Sébastien Loeb Rally Evo,2016,Racing,Milestone S.r.l,0,0.04,0,0.01,0.04
Utawarerumono: Futari no Hakuoro,2016,Misc,Aqua Plus,0,0,0.04,0,0.04
Hitman (2016),2016,Action,Square Enix,0,0.04,0,0.01,0.04
Nitroplus Blasterz: Heroines Infinite Duel,2015,Fighting,Marvelous Interactive,0.01,0,0.02,0,0.04
XCOM 2,2016,Strategy,Take-Two Interactive,0.01,0.02,0,0.01,0.04
Infamous: First Light,2014,Action,Sony Computer Entertainment,0,0.03,0,0.01,0.04
Nobunaga's Ambition: Sphere of Influence,2014,Strategy,Tecmo Koei,0.03,0,0,0.01,0.04
Hyperdimension Neptunia Victory II,2015,Role-Playing,Idea Factory International,0,0,0.04,0,0.04
Rugby Challenge 3,2016,Sports,Alternative Software,0,0.03,0,0.01,0.04
Hatsune Miku: Project Diva X,2016,Misc,Sega,0.01,0,0.02,0,0.04
Assassin's Creed Chronicles: China,2015,Action,Ubisoft,0,0.03,0,0.01,0.04
Batman: A Telltale Game Series,2016,Adventure,Telltale Games,0.01,0.02,0,0.01,0.04
Resident Evil 4 HD,2016,Shooter,Capcom,0.03,0,0,0.01,0.03
Tour de France 2014,2014,Sports,Focus Home Interactive,0,0.03,0,0,0.03
JoJo's Bizarre Adventure: Eyes of Heaven,2015,Fighting,Namco Bandai Games,0,0,0.03,0,0.03
NASCAR Heat Evolution,2016,Racing,Dusenberry Martin Racing,0.03,0,0,0.01,0.03
Phantasy Star Online 2 Episode 4: Deluxe Package,2017,Role-Playing,Sega,0,0,0.03,0,0.03
Summon Night 6: Lost Borders,2016,Action,Namco Bandai Games,0,0,0.03,0,0.03
Exist Archive: The Other Side of the Sky,2015,Role-Playing,Aksys Games,0,0,0.03,0,0.03
Ghostbusters (2016),2016,Action,Activision,0.02,0,0,0.01,0.03
Let's Sing 2016,2015,Action,FuRyu Corporation,0.02,0,0,0.01,0.03
Sengoku Basara: Sanada Yukimura-Den,2016,Action,Capcom,0,0,0.03,0,0.03
The Peanuts Movie: Snoopy's Grand Adventure,2015,Action,Activision,0,0.02,0,0,0.03
