,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
178,Gran Turismo (PSP),PSP,2009,Racing,Sony Computer Entertainment,0.5,1.59,0.31,0.87,3.27
179,Monster Hunter X,3DS,2015,Action,Capcom,0.25,0.19,2.78,0.04,3.26
180,Yokai Watch 2 Ganso/Honke,3DS,2014,Role-Playing,Nintendo,0.03,0.0,3.18,0.0,3.22
181,Baseball,NES,1983,Sports,Nintendo,0.73,0.1,2.35,0.02,3.2
182,Killer Instinct,SNES,1995,Fighting,Nintendo,2.26,0.72,0.12,0.1,3.2
183,Crisis Core: Final Fantasy VII,PSP,2007,Role-Playing,Square Enix,1.35,0.6,0.8,0.44,3.19
184,God of War: Chains of Olympus,PSP,2008,Action,Sony Computer Entertainment,1.48,1.01,0.04,0.66,3.19
185,Dragon Quest VI: Maboroshi no Daichi,SNES,1995,Role-Playing,Enix Corporation,0.0,0.0,3.19,0.0,3.19
186,Super Mario Maker,WiiU,2015,Platform,Nintendo,1.18,0.87,0.93,0.2,3.18
187,LEGO Batman: The Videogame,Wii,2007,Action,Warner Bros. Interactive Entertainment,1.86,1.02,0.0,0.29,3.17
188,Rhythm Heaven,DS,2008,Misc,Nintendo,0.58,0.51,1.93,0.14,3.17
189,Club Penguin: Elite Penguin Force,DS,2008,Adventure,Disney Interactive Studios,1.88,0.98,0.0,0.3,3.16
190,Animal Crossing,GC,2001,Simulation,Nintendo,1.92,0.16,0.99,0.09,3.15
191,LEGO Batman: The Videogame,DS,2008,Action,Warner Bros. Interactive Entertainment,1.79,1.06,0.0,0.29,3.15
192,Sonic Rush,DS,2005,Platform,Sega,1.22,1.57,0.06,0.29,3.15
193,Star Wars Episode I Racer,N64,1999,Racing,Nintendo,2.31,0.62,0.14,0.04,3.12
194,Personal Trainer: Cooking,DS,2006,Misc,Nintendo,0.91,1.0,1.03,0.17,3.12
195,Dragon Warrior IV,NES,1990,Role-Playing,Enix Corporation,0.08,0.0,3.03,0.01,3.12
196,World Class Track Meet,NES,1986,Sports,Namco Bandai Games,1.92,0.45,0.64,0.07,3.08
197,The Legend of Zelda: A Link Between Worlds,3DS,2013,Action,Nintendo,1.4,0.99,0.46,0.22,3.07
198,Donkey Kong,GB,1994,Platform,Nintendo,1.57,0.62,0.55,0.34,3.07
199,The Sims: Vacation,PC,2002,Simulation,Electronic Arts,1.72,1.21,0.0,0.14,3.07
200,Epic Mickey,Wii,2010,Platform,Disney Interactive Studios,2.06,0.64,0.12,0.22,3.04
201,Tom Clancy's Splinter Cell,XB,2002,Action,Ubisoft,1.85,1.04,0.0,0.13,3.02
202,Mike Tyson's Punch-Out!!,NES,1987,Fighting,Nintendo,2.03,0.47,0.45,0.07,3.02
203,Star Fox,SNES,1993,Shooter,Nintendo,1.61,0.51,0.8,0.07,2.99
204,The Sims: Livin Large,PC,2000,Misc,Electronic Arts,1.67,1.18,0.0,0.13,2.99
205,Animal Crossing: Happy Home Designer,3DS,2015,Simulation,Nintendo,0.47,1.0,1.39,0.12,2.98
206,The Sims 4,PC,2014,Simulation,Electronic Arts,0.96,1.72,0.0,0.29,2.97
207,Star Wars: The Old Republic,PC,2011,Role-Playing,Electronic Arts,1.58,1.01,0.0,0.38,2.97
208,Kirby Super Star Ultra,DS,2008,Platform,Nintendo,1.57,0.04,1.19,0.15,2.96
209,Wave Race 64,N64,1996,Racing,Nintendo,1.98,0.58,0.34,0.04,2.94
210,Pac-Man Collection,GBA,2001,Puzzle,Atari,2.07,0.77,0.05,0.05,2.94
211,WarioWare: Smooth Moves,Wii,2006,Puzzle,Nintendo,0.87,1.06,0.73,0.26,2.92
212,Cooking Mama: Cook Off,Wii,2007,Simulation,505 Games,1.43,1.13,0.05,0.3,2.91
213,Super Mario World 2: Yoshi's Island,GBA,2002,Platform,Nintendo,1.75,0.45,0.62,0.09,2.91
214,Zumba Fitness 2,Wii,2011,Sports,Majesco Entertainment,1.54,1.07,0.0,0.28,2.88
215,Imagine: Babyz,DS,2007,Simulation,Ubisoft,1.3,1.27,0.0,0.31,2.88
216,The Elder Scrolls III: Morrowind,XB,2002,Role-Playing,Ubisoft,2.09,0.63,0.03,0.11,2.86
217,F-Zero,SNES,1990,Racing,Nintendo,1.37,0.51,0.89,0.07,2.85
218,Yoshi's Story,N64,1997,Platform,Nintendo,1.29,0.53,0.98,0.05,2.85
219,Command & Conquer: Red Alert,PC,1996,Strategy,Virgin Interactive,1.37,1.34,0.0,0.14,2.85
220,Skylanders: Spyro's Adventure,Wii,2011,Action,Activision,1.4,1.14,0.0,0.31,2.85
221,Metroid Prime,GC,2002,Shooter,Nintendo,1.96,0.67,0.1,0.09,2.82
222,Finding Nemo,GBA,2003,Action,THQ,1.59,1.05,0.04,0.14,2.82
223,Myst,PC,1994,Adventure,Red Orb,0.02,2.79,0.0,0.0,2.81
224,Imagine: Fashion Designer,DS,2007,Simulation,Ubisoft,1.32,1.19,0.0,0.3,2.81
225,Yoshi's Island DS,DS,2006,Platform,Nintendo,1.47,0.07,1.1,0.15,2.8
226,Dragon Quest V: Tenkuu no Hanayome,SNES,1992,Role-Playing,Enix Corporation,0.0,0.0,2.78,0.01,2.79
227,Battlefield 3,PC,2011,Shooter,Electronic Arts,0.89,1.43,0.0,0.48,2.79
228,Professor Layton and the Last Specter,DS,2009,Puzzle,Nintendo,0.3,1.47,0.68,0.34,2.79
229,Monster Hunter Tri,3DS,2011,Role-Playing,Nintendo,0.46,0.29,1.96,0.07,2.79
230,Sonic and the Secret Rings,Wii,2007,Platform,Sega,1.24,1.2,0.04,0.3,2.77
231,Missile Command,2600,1980,Shooter,Atari,2.56,0.17,0.0,0.03,2.76
232,Mario Paint,SNES,1992,Misc,Nintendo,1.43,0.54,0.71,0.07,2.75
233,Pokémon Stadium 2,N64,2000,Strategy,Nintendo,1.02,0.36,1.13,0.23,2.73
234,Metroid,NES,1986,Action,Nintendo,1.33,0.31,1.04,0.05,2.73
235,The Legend of Zelda: A Link to the Past,GBA,2002,Action,Nintendo,1.75,0.52,0.33,0.1,2.7
236,Mario Party,N64,1998,Misc,Nintendo,1.25,0.53,0.87,0.05,2.7
237,Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,2010,Puzzle,Nintendo,1.63,0.52,0.35,0.18,2.69
238,Yokai Watch 2 Shinuchi,3DS,2014,Role-Playing,Level 5,0.0,0.0,2.68,0.0,2.68
239,Mortal Kombat,GEN,1992,Fighting,Arena Entertainment,1.95,0.63,0.0,0.09,2.67
240,Fable,XB,2004,Role-Playing,Microsoft Game Studios,1.99,0.58,0.0,0.09,2.66
241,Hannah Montana,DS,2006,Action,Disney Interactive Studios,1.59,0.8,0.0,0.26,2.65
242,Skylanders Giants,Wii,2012,Action,Activision,1.56,0.88,0.0,0.22,2.65
243,Medal of Honor Heroes,PSP,2006,Shooter,Electronic Arts,0.86,1.11,0.01,0.66,2.65
244,Super Mario Bros.: The Lost Levels,NES,1986,Platform,Nintendo,0.0,0.0,2.65,0.0,2.65
245,Star Wars: Shadows of the Empire,N64,1996,Action,Nintendo,2.0,0.5,0.12,0.03,2.65
246,Pac-Man: Adventures in Time,PSP,2006,Fighting,Sony Computer Entertainment,0.76,1.1,0.12,0.65,2.63
247,Mario Strikers Charged,Wii,2007,Sports,Nintendo,1.07,1.06,0.24,0.25,2.62
248,Style Savvy,DS,2008,Simulation,Nintendo,0.63,0.84,0.96,0.19,2.61
249,Super Mario All-Stars: Limited Edition,Wii,2010,Platform,Nintendo,1.02,0.52,0.92,0.14,2.6
250,Streets of Rage,GEN,1990,Action,Sega,1.86,0.55,0.11,0.08,2.6
251,LittleBigPlanet,PSP,2009,Platform,Sony Computer Entertainment,0.64,1.24,0.01,0.69,2.58
252,Monster Hunter Freedom 2,PSP,2007,Role-Playing,Capcom,0.37,0.27,1.75,0.18,2.58
253,Art Academy,DS,2010,Misc,Nintendo,0.28,1.68,0.33,0.28,2.57
254,Sonic Adventure 2 Battle,GC,2001,Platform,Sega,1.7,0.59,0.21,0.07,2.56
255,Dragon Warrior II,NES,1987,Role-Playing,Enix Corporation,0.15,0.0,2.41,0.0,2.56
256,Pokémon Colosseum,GC,2003,Role-Playing,Nintendo,1.21,0.57,0.7,0.07,2.54
257,Deca Sports,Wii,2008,Sports,Konami Digital Entertainment,1.13,0.87,0.29,0.25,2.54
258,Space Invaders,2600,2007,Shooter,Atari,2.36,0.14,0.0,0.03,2.53
259,Perfect Dark,N64,2000,Action,Nintendo,1.55,0.75,0.16,0.06,2.52
260,Game Party,Wii,2007,Misc,Midway Games,1.5,0.78,0.0,0.24,2.52
261,Dragon Warrior,NES,1986,Role-Playing,Capcom,0.49,0.0,0.52,1.51,2.52
262,Mario Party 2,N64,1999,Misc,Nintendo,1.28,0.14,1.08,0.01,2.5
263,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB,2003,Action,Take-Two Interactive,1.84,0.56,0.0,0.09,2.49
264,LEGO Harry Potter: Years 1-4,Wii,2010,Action,Warner Bros. Interactive Entertainment,1.29,0.97,0.0,0.23,2.49
265,Mario Party 4,GC,2002,Misc,Nintendo,1.13,0.36,0.92,0.07,2.47
