Name,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Mortal Kombat,2011,Fighting,Warner Bros. Interactive Entertainment,1.98,0.55,0,0.32,2.85
FIFA 16,2015,Sports,Electronic Arts,0.4,1.98,0.05,0.42,2.85
Assassin's Creed: Brotherhood,2010,Action,Ubisoft,1.87,0.57,0.11,0.3,2.84
Medal of Honor,2010,Shooter,Electronic Arts,1.28,1.05,0.07,0.43,2.83
Need for Speed: Hot Pursuit,2010,Racing,Electronic Arts,1.05,1.25,0.03,0.48,2.81
Killzone 3,2011,Shooter,Sony Computer Entertainment,1.45,0.88,0.09,0.38,2.79
Tekken 6,2009,Fighting,Namco Bandai Games,1.2,0.98,0.17,,2.78
Need for Speed: Shift,2009,Racing,Electronic Arts,0.69,1.41,0.04,0.53,2.68
Final Fantasy XIII-2,2011,Role-Playing,Square Enix,0.78,0.75,0.89,0.26,2.68
God of War Collection,2009,Action,Sony Computer Entertainment,1.7,0.46,0.06,0.41,2.63
FIFA Soccer 09,2008,Sports,Electronic Arts,0.48,1.63,0.04,0.43,2.59
Ratchet & Clank Future: Tools of Destruction,2007,Platform,Sony Computer Entertainment,0.93,1.12,0.08,0.45,2.59
Madden NFL 13,2012,Sports,Electronic Arts,2.11,0.23,0,0.22,2.56
Tomb Raider (2013),2013,Action,Square Enix,0.6,1.31,0.08,0.52,2.51
Saints Row: The Third,2011,Action,THQ,0.86,1.06,0.18,0.39,2.49
Resistance 2,2008,Shooter,Sony Computer Entertainment,1.15,0.85,0.1,0.39,2.48
NBA 2K13,2012,Sports,Take-Two Interactive,1.72,0.44,0.05,0.27,2.48
Midnight Club: Los Angeles,2008,Racing,Take-Two Interactive,1.55,0.54,0.05,0.31,2.45
pro evolution soccer 2011,2010,Sports,Konami Digital Entertainment,0.29,1.18,0.54,0.41,2.42
Batman: Arkham Origins,2013,Action,Warner Bros. Interactive Entertainment,1.07,0.87,0.04,0.4,2.39
LEGO Star Wars: The Complete Saga,2007,Action,LucasArts,1.02,0.97,0,0.39,2.38
Madden NFL 11,2010,Sports,Electronic Arts,2.04,0.15,0,0.19,2.38
Madden NFL 10,2009,Sports,Electronic Arts,2.03,0.13,0,0.21,2.37
Dead Island,2011,Action,Deep Silver,1.08,0.75,0.15,0.31,2.29
God of War: Ascension,2013,Action,Sony Computer Entertainment,1.23,0.68,0.04,0.34,2.29
Pro Evolution Soccer 2010,2009,Sports,Konami Digital Entertainment,0.3,1.27,0.46,0.26,2.28
Star Wars: The Force Unleashed,2008,Action,LucasArts,1.01,0.9,0,0.37,2.28
Borderlands 2,2012,Shooter,Take-Two Interactive,1.05,0.77,0.1,0.36,2.28
Sonic's Ultimate Genesis Collection,2009,Misc,Sega,1.34,0.62,0,0.31,2.27
Guitar Hero III: Legends of Rock,2007,Misc,Activision,1.4,0.54,0.02,0.3,2.26
Madden NFL 12,2011,Sports,Electronic Arts,1.93,0.15,0,0.17,2.25
Pro Evolution Soccer 2012,2011,Action,Konami Digital Entertainment,0.34,0.97,0.55,0.33,2.19
Hitman: Absolution,2012,Action,Square Enix,0.59,1.07,0.07,0.45,2.19
NBA 2K12,2011,Sports,Take-Two Interactive,1.61,0.27,0.05,0.18,2.11
Borderlands,2009,Shooter,Take-Two Interactive,1.2,0.62,0,0.29,2.11
PES 2009: Pro Evolution Soccer,2008,Sports,Konami Digital Entertainment,0.11,1.34,0.4,0.26,2.11
Need For Speed: Undercover,2008,Racing,Electronic Arts,0.63,1.02,0.05,0.39,2.08
Ghostbusters: The Video Game (DS Version),2010,Action,Take-Two Interactive,0.59,0.99,0.13,0.36,2.08
Skate 3,2010,Sports,Electronic Arts,0.79,0.94,0,0.35,2.08
Dark Souls,2011,Role-Playing,Namco Bandai Games,0.75,0.54,0.54,0.23,2.07
The Sims 3,2010,Simulation,Electronic Arts,0.73,0.97,0.02,0.34,2.06
Need for Speed: ProStreet,2007,Racing,Electronic Arts,0.73,0.92,0.04,0.37,2.05
NBA 2K14,2013,Sports,Take-Two Interactive,1.43,0.33,0.04,0.25,2.05
Diablo III,2013,Role-Playing,Activision,0.71,0.83,0.15,0.35,2.05
Need for Speed: The Run,2011,Action,Electronic Arts,0.58,1.06,0.03,0.37,2.04
Dead Space,2008,Action,Electronic Arts,1.05,0.67,0,0.3,2.02
LEGO Marvel Super Heroes,2013,Action,Warner Bros. Interactive Entertainment,0.77,0.85,0.01,0.37,2
Mortal Kombat vs. DC Universe,2008,Fighting,Midway Games,1.48,0.3,0,0.22,2
Burnout Paradise,2008,Racing,Electronic Arts,1.01,0.64,0.02,0.3,1.97
Guitar Hero: World Tour,2008,Misc,Activision,1.1,0.56,0,0.27,1.93
Watch Dogs,2014,Action,Ubisoft,0.56,0.89,0.1,0.37,1.93
Max Payne 3,2012,Shooter,Take-Two Interactive,0.59,0.92,0.06,0.32,1.9
Madden NFL 09,2008,Sports,Electronic Arts,1.56,0.15,0,0.18,1.89
Ratchet & Clank Future: A Crack in Time,2009,Platform,Sony Computer Entertainment,1.05,0.54,0.03,0.26,1.88
inFAMOUS 2,2011,Action,Sony Computer Entertainment,1.05,0.49,0.08,0.23,1.85
Demon's Souls,2009,Role-Playing,Namco Bandai Games,0.97,0.34,0.35,0.18,1.84
NBA 2K11,2010,Action,Take-Two Interactive,1.41,0.21,0.03,0.16,1.8
Call of Duty: Black Ops 3,2015,Shooter,Activision,0.49,0.96,0.07,0.27,1.79
Beyond: Two Souls,2013,Adventure,Sony Computer Entertainment,0.52,0.88,0.06,0.34,1.79
Just Cause 2,2010,Action,Square Enix,0.45,0.94,0.06,0.33,1.78
Dragon's Dogma,2012,Role-Playing,Capcom,0.41,0.46,0.72,0.19,1.78
Madden NFL 25,2013,Sports,Electronic Arts,1.59,0.03,0,0.15,1.77
UFC 2009 Undisputed,2009,Fighting,THQ,1.07,0.45,0.01,0.24,1.77
BioShock Infinite,2013,Shooter,Take-Two Interactive,0.72,0.69,0.04,0.31,1.76
FIFA Soccer 08,2007,Sports,Electronic Arts,0.35,1.07,0.02,0.32,1.76
Kingdom Hearts,2013,Role-Playing,Square Enix,0.9,0.37,0.25,0.24,1.75
Portal 2,2011,Shooter,Valve,0.83,0.63,0.02,0.25,1.74
Destiny,2014,Shooter,Activision,0.67,0.66,0.12,0.27,1.73
Saints Row 2,2008,Action,THQ,0.88,0.54,0.02,0.25,1.69
Dragon Age: Origins,2009,Role-Playing,Electronic Arts,0.96,0.44,0.08,0.22,1.69
Fight Night Round 3,2006,Fighting,Electronic Arts,0.81,0.59,0.01,0.26,1.67
Heavenly Sword,2007,Action,Sony Computer Entertainment,0.57,0.73,0.06,0.3,1.66
Sonic Generations,2011,Platform,Sega,0.6,0.73,0.02,0.28,1.63
Rock Band,N/A,Misc,Electronic Arts,0.99,0.41,0,0.22,1.62
Devil May Cry 4,2008,Action,Capcom,0.58,0.46,0.34,0.21,1.59
Pro Evolution Soccer 2008,2007,Sports,Konami Digital Entertainment,0.04,1.1,0.32,0.13,1.59
Pro Evolution Soccer 2013,2012,Sports,Konami Digital Entertainment,0.18,0.64,0.49,0.25,1.56
Dishonored,2012,Action,Bethesda Softworks,0.72,0.54,0.04,0.25,1.55
BioShock 2,2010,Shooter,Take-Two Interactive,0.85,0.47,0.02,0.22,1.55
Star Wars: The Force Unleashed II,2010,Action,LucasArts,0.8,0.53,0,0.22,1.55
Ni no Kuni: Wrath of the White Witch,2011,Role-Playing,Namco Bandai Games,0.6,0.51,0.21,0.23,1.55
Fight Night Round 4,2009,Fighting,Electronic Arts,0.92,0.41,0,0.21,1.53
Mafia II,2010,Action,Take-Two Interactive,0.5,0.72,0.04,0.26,1.52
Call of Duty 3,2006,Shooter,Activision,0.6,,0.03,0.26,1.52
Resistance 3,2011,Shooter,Sony Computer Entertainment,0.64,0.58,0.05,0.23,1.5
Rock Band 2,2008,Misc,MTV Games,1.13,0.2,0,0.16,1.5
Mass Effect 2,2011,Role-Playing,Electronic Arts,0.78,0.47,0.03,0.2,1.48
SoulCalibur IV,2008,Fighting,Ubisoft,0.72,0.41,0.14,0.2,1.47
Metal Gear Rising: Revengeance,2013,Action,Konami Digital Entertainment,0.45,0.4,0.44,0.18,1.47
Mass Effect 3,2012,Role-Playing,Electronic Arts,0.63,0.59,0.03,0.21,1.46
Medal of Honor: Warfighter,2012,Action,Electronic Arts,0.47,0.65,0.06,0.28,1.46
BioShock,2008,Shooter,Take-Two Interactive,0.75,0.49,0.01,0.21,1.45
Far Cry 4,2014,Shooter,Ubisoft,0.33,0.79,0.08,0.23,1.44
Need for Speed Rivals,2013,Racing,Electronic Arts,0.33,0.74,0.05,0.31,1.44
Dead Space 2,2011,Shooter,Electronic Arts,0.73,0.5,0,0.21,1.44
UFC Undisputed 2010,2010,Fighting,THQ,0.8,0.41,0.02,0.19,1.42
Madden NFL 15,2014,Sports,Electronic Arts,1.07,0.15,0,0.19,1.41
Far Cry 2,2008,Action,Ubisoft,0.43,0.7,0.01,0.27,1.4
Deus Ex: Human Revolution,2011,Shooter,Square Enix,0.5,0.6,0.07,0.23,1.39
WWE '13,2012,Action,THQ,0.51,0.62,0,0.26,1.39
Dead Rising 2,2010,Action,Capcom,0.43,0.57,0.15,0.22,1.38
Assassin's Creed: Rogue,2014,Action,Ubisoft,0.46,0.62,0.06,0.23,1.37
Ridge Racer 7,2006,Racing,Namco Bandai Games,0.24,0.7,0.16,0.26,1.37
MotorStorm: Pacific Rift,2008,Racing,Sony Computer Entertainment,0.43,0.67,0.02,0.26,1.37
LEGO Harry Potter: Years 1-4,2010,Action,Warner Bros. Interactive Entertainment,0.55,0.6,0,0.22,1.37
NBA 2K15,2014,Sports,Take-Two Interactive,0.86,0.27,0.02,0.22,1.36
Marvel vs. Capcom 3: Fate of Two Worlds,2011,Fighting,Capcom,0.81,0.29,0.11,0.14,1.35
F1 2010,2010,Racing,Codemasters,0.25,0.76,0.08,0.27,1.35
Battlefield: Bad Company,2008,Shooter,Electronic Arts,0.76,0.36,0.05,0.18,1.35
Tom Clancy's Rainbow Six: Vegas 2,2008,Shooter,Ubisoft,0.66,0.45,0.04,0.21,1.35
The ICO & Shadow of the Colossus Collection,2011,Adventure,Sony Computer Entertainment,0.67,0.37,0.13,0.17,1.35
WWE SmackDown vs Raw 2008,2007,Fighting,THQ,0.62,0.5,0.01,0.21,1.33
Rage,2011,Shooter,Bethesda Softworks,0.47,0.59,0.06,0.21,1.33
Final Fantasy X / X-2 HD Remaster,2013,Role-Playing,Square Enix,0.43,0.4,0.32,0.18,1.33
LEGO Batman: The Videogame,2008,Action,Warner Bros. Interactive Entertainment,0.72,0.42,0,0.19,1.32
Dark Souls II,2014,Role-Playing,Namco Bandai Games,0.4,0.36,0.4,0.17,1.32
Kingdom Hearts II,2014,Role-Playing,Square Enix,0.52,0.43,0.18,0.19,1.32
MAG: Massive Action Game,2010,Shooter,Sony Computer Entertainment,0.77,0.3,0.09,0.16,1.32
Crysis 2,2011,Action,Electronic Arts,0.45,0.57,0.06,0.21,1.3
Saints Row IV,2013,Action,Deep Silver,0.56,0.44,0.09,0.21,1.3
FIFA Street,2012,Sports,Electronic Arts,0.11,0.92,0,0.25,1.29
Valkyria Chronicles,2008,Role-Playing,Sega,0.71,0.2,0.24,0.13,1.29
Tomb Raider: Underworld,2008,Action,Eidos Interactive,0.45,0.56,0.05,0.22,1.27
Need for Speed Carbon,2006,Racing,Electronic Arts,0.49,0.52,0.03,0.21,1.26
SOCOM: U.S. Navy SEALs Confrontation,2008,Shooter,Sony Computer Entertainment,0.94,0.17,0.02,0.13,1.25
Tom Clancy's Rainbow Six: Vegas,2007,Shooter,Ubisoft,0.47,0.53,0.03,0.22,1.25
Injustice: Gods Among Us,2013,Fighting,Warner Bros. Interactive Entertainment,0.48,0.53,0.01,0.23,1.25
Tales of Xillia,2011,Role-Playing,Namco Bandai Games,0.29,0.19,0.67,0.09,1.24
[Prototype],2009,Action,Activision,0.65,0.41,0,0.19,1.24
2010 FIFA World Cup South Africa,2010,Sports,Electronic Arts,0.3,0.64,0.07,0.22,1.23
Medal of Honor: Airborne,2007,Shooter,Electronic Arts,0.25,0.7,0.03,0.25,1.23
Bayonetta,2009,Action,Sega,0.44,0.41,0.21,0.17,1.23
LEGO Batman 2: DC Super Heroes,2012,Action,Warner Bros. Interactive Entertainment,0.5,0.53,0,0.2,1.22
Naruto Shippuden: Ultimate Ninja Storm 2,2010,Fighting,Namco Bandai Games,0.42,0.47,0.15,0.18,1.22
F1 2011,2011,Racing,Codemasters,0.12,0.75,0.11,0.25,1.22
LEGO Star Wars III: The Clone Wars,2011,Action,LucasArts,0.52,0.49,0,0.2,1.2
One Piece: Pirate Warriors,2012,Action,Namco Bandai Games,0.01,0.24,0.86,0.09,1.2
WWE 2K14,2013,Sports,Take-Two Interactive,0.49,0.49,0,0.21,1.19
Resident Evil: Operation Raccoon City,2012,Action,Capcom,0.48,0.25,0.36,0.1,1.18
WWE '12,2011,Fighting,THQ,0.53,0.46,0.02,0.17,1.18
WWE SmackDown vs. Raw 2010,2009,Fighting,THQ,0.48,0.49,0.01,0.2,1.18
Sonic the Hedgehog,2006,Platform,Sega,0.41,0.07,0.04,0.66,1.18
Army of Two,2008,Shooter,Electronic Arts,0.74,0.26,0.02,0.15,1.17
007: Quantum of Solace,2008,Action,Activision,0.43,0.52,0.02,0.2,1.16
SingStar,2007,Misc,Sony Computer Entertainment,0.45,0.58,0,0.13,1.16
Rocksmith,2011,Misc,Ubisoft,0.52,0.38,0.09,0.17,1.16
Omerta: City of Gangsters,2011,Simulation,Konami Digital Entertainment,0.52,0.46,0,0.17,1.15
Ninja Gaiden Sigma,2007,Action,Eidos Interactive,0.57,0.33,0.09,0.16,1.15
Red Dead Redemption: Undead Nightmare,2010,Action,Take-Two Interactive,0.44,0.46,0.06,0.18,1.15
Ratchet & Clank: All 4 One,2011,Platform,Sony Computer Entertainment,0.75,0.22,0.05,0.12,1.15
Fight Night Champion,2011,Fighting,Electronic Arts,0.45,0.51,0,0.19,1.15
Hot Shots Golf: Out of Bounds,2007,Sports,Sony Computer Entertainment,0.31,0.03,0.76,0.04,1.14
Mirror's Edge,2008,Platform,Electronic Arts,0.31,0.59,0.02,0.22,1.14
ModNation Racers,2010,Racing,Sony Computer Entertainment,0.5,0.41,0.06,0.16,1.13
Yakuza 3,2009,Action,Sega,0.21,0.21,0.62,0.08,1.13
The Beatles: Rock Band,2009,Misc,MTV Games,0.67,0.3,0,0.15,1.13
Final Fantasy XIV: A Realm Reborn,2013,Role-Playing,Square Enix,0.36,0.33,0.28,0.15,1.12
Castlevania: Lords of Shadow,2010,Action,Konami Digital Entertainment,0.5,0.37,0.1,0.16,1.12
GRID,2008,Racing,Codemasters,0.31,0.57,0.03,0.2,1.11
Toy Story 3: The Video Game,2010,Action,Disney Interactive Studios,0.51,0.42,0,0.17,1.11
Guitar Hero 5,2009,Misc,Activision,0.53,0.4,0,0.17,1.1
LEGO The Lord of the Rings,2012,Action,Warner Bros. Interactive Entertainment,0.36,0.53,0,0.21,1.1
WWE SmackDown vs. Raw 2011,2010,Fighting,THQ,0.44,0.46,0.01,0.18,1.1
Lightning Returns: Final Fantasy XIII,2013,Role-Playing,Square Enix,0.31,0.22,0.45,0.12,
Virtua Fighter 5,2007,Fighting,Sega,0.29,0.52,0.08,0.2,1.09
Dante's Inferno,2010,Action,Electronic Arts,0.64,0.28,0.04,0.13,1.09
Skylanders Giants,2012,Action,Activision,0.35,0.52,0,0.22,1.09
Prince of Persia,2008,Action,Ubisoft,0.47,0.41,0.03,0.18,1.08
The Orange Box,2007,Shooter,Electronic Arts,0.28,0.59,0,0.22,1.08
DiRT 3,2011,Racing,Codemasters,0.27,0.59,0.01,0.21,1.08
Naruto: Ultimate Ninja Storm,2008,Fighting,Namco Bandai Games,0.49,0.35,0.09,0.16,1.08
Skylanders SWAP Force,2013,Platform,Activision,0.43,0.44,0,0.2,1.07
F1 2012,2012,Racing,Codemasters,0.12,0.64,0.05,0.25,1.07
DiRT,2007,Racing,Codemasters,0.16,0.67,0,0.23,1.06
Sleeping Dogs,2012,Action,Square Enix,0.31,0.5,0.05,0.19,1.06
LEGO Indiana Jones: The Original Adventures,2008,Action,Activision,0.44,0.44,0,0.18,1.06
Virtua Tennis 3,2007,Sports,Sega,0.23,0.59,0.03,0.22,1.06
Warhawk,2007,Simulation,Sony Computer Entertainment,0.49,0.39,0,0.17,1.06
Aliens vs Predator,2010,Shooter,Sega,0.41,0.47,0,0.18,1.05
UFC Undisputed 3,2012,Action,THQ,0.55,0.34,0.03,0.13,1.05
Tom Clancy's Ghost Recon Advanced Warfighter 2,2007,Shooter,Ubisoft,0.34,0.48,0.02,0.19,1.04
Sonic Unleashed,2008,Platform,Sega,0.56,0.33,0.01,0.14,1.03
Rayman Origins,2011,Platform,Ubisoft,0.33,0.51,0.01,0.18,1.03
Tales of Graces f,2010,Role-Playing,Namco Bandai Games,0.28,0.21,0.45,0.08,1.02
Disney Infinity 2.0: Marvel Super Heroes,2014,Action,Disney Interactive Studios,0.44,0.4,0,0.17,1.02
The LEGO Movie Videogame,2014,Action,Warner Bros. Interactive Entertainment,0.33,0.48,0.02,0.18,1.01
DiRT 2,2009,Racing,Codemasters,0.27,0.53,0,0.2,1.01
Haze,2008,Shooter,Ubisoft,0.49,0.33,0.02,0.15,1
Rocksmith 2014,2013,Misc,Ubisoft,0.51,0.27,0.05,0.15,1
Dead Space 3,2013,Action,Electronic Arts,0.44,0.38,0,0.17,1
Disney Infinity,2013,Action,Disney Interactive Studios,0.48,0.35,0,0.16,1
LEGO Pirates of the Caribbean: The Video Game,2011,Action,Disney Interactive Studios,0.36,0.46,0,0.17,0.99
EyePet,2009,Simulation,Sony Computer Entertainment,0.35,0.52,0.04,0.09,0.99
Guitar Hero: Aerosmith,2008,Misc,Activision,0.73,0.15,0,0.11,0.99
Sonic & Sega All-Stars Racing,2010,Racing,Sega,0.36,0.46,0,0.17,0.98
South Park: The Stick of Truth,2014,Role-Playing,Ubisoft,0.42,0.38,0,0.17,0.98
Driver: San Francisco,2011,Racing,Ubisoft,0.24,0.54,0.01,0.18,0.98
Sniper Elite V2,2012,Shooter,505 Games,0.38,0.39,0.06,0.15,0.98
Tom Clancy's Splinter Cell: Blacklist,2013,Action,Ubisoft,0.34,0.41,0.06,0.18,0.98
Pro Evolution Soccer 2014,2013,Action,Konami Digital Entertainment,0.03,0.43,0.51,0.01,0.98
Madden NFL 08,2007,Sports,Electronic Arts,0.89,0.01,0,0.08,0.97
Yakuza 4,N/A,Action,Sega,0.15,0.14,0.63,0.05,0.97
LEGO Harry Potter: Years 5-7,N/A,Action,Warner Bros. Interactive Entertainment,0.36,0.45,0,0.16,0.97
PlayStation All-Stars Battle Royale,2012,Action,Sony Computer Entertainment,0.5,0.28,0.04,0.14,0.96
Lost Planet 2,2010,Shooter,Capcom,0.29,0.34,0.2,0.13,0.96
Tom Clancy's Ghost Recon: Future Soldier,2012,Shooter,Ubisoft,0.41,0.33,0.09,0.12,0.96
Naruto Shippuden: Ultimate Ninja Storm 3,2013,Fighting,Namco Bandai Games,0.32,0.33,0.15,0.15,0.96
SingStar Abba,2008,Misc,Sony Computer Entertainment,0.27,0.51,0,0.17,0.95
Brutal Legend,2009,Action,Electronic Arts,0.54,0.28,0,0.13,0.95
Skylanders: Spyro's Adventure,2011,Action,Activision,0.39,0.4,0,0.16,0.95
WWE SmackDown vs. Raw 2009,2008,Fighting,THQ,0.51,0.31,0.01,0.13,0.95
The Tomb Raider Trilogy,2011,Action,Square Enix,0.27,0.5,0,0.17,0.94
Buzz! Quiz World,2009,Misc,Sony Computer Entertainment,0.16,0.58,0,0.2,0.93
White Knight Chronicles: International Edition,2008,Role-Playing,Sony Computer Entertainment,0.33,0.16,0.36,0.08,0.93
SSX,2012,Sports,Electronic Arts,0.35,0.42,0.02,0.14,0.93
LEGO Jurassic World,2015,Action,Warner Bros. Interactive Entertainment,0.34,0.44,0,0.15,0.93
Brothers in Arms: Hell's Highway,2008,Shooter,Ubisoft,0.44,0.34,0,0.15,0.93
EA Sports Active 2,2010,Sports,Electronic Arts,0.52,0.28,0,0.12,0.92
Dynasty Warriors 7,2011,Action,Tecmo Koei,0.25,0.14,0.46,0.06,0.92
The Evil Within,2014,Action,Bethesda Softworks,0.26,0.39,0.12,0.14,0.92
MLB 12: The Show,2012,Sports,Sony Computer Entertainment,0.86,0,0,0.06,0.92
Operation Flashpoint: Dragon Rising,2009,Shooter,Codemasters,0.23,0.46,0.05,0.17,0.92
Homefront,2011,Shooter,THQ,0.32,0.4,0.04,0.15,0.91
Avatar: The Game,2009,Action,Ubisoft,0.32,0.43,0,0.16,0.91
LEGO Indiana Jones 2: The Adventure Continues,2009,Action,Activision,0.47,0.3,0,0.13,0.91
MX vs. ATV Reflex,2009,Racing,THQ,0.52,0.26,0,0.12,0.91
DJ Hero,2009,Misc,Activision,0.42,0.34,0,0.14,0.91
The Simpsons Game,2007,Action,Electronic Arts,0.38,0.37,0,0.15,0.91
SOCOM 4: U.S. Navy SEALs,2011,Shooter,Sony Computer Entertainment,0.66,0.12,0.04,0.08,0.9
Buzz! Quiz TV,2008,Misc,Sony Computer Entertainment,0.28,0.48,0,0.14,0.9
Crysis 3,2013,Shooter,Electronic Arts,0.26,0.43,0.03,0.18,0.9
Tiger Woods PGA Tour 12: The Masters,2011,Sports,Electronic Arts,0.52,0.26,0,0.12,0.9
Pure,2008,Racing,Disney Interactive Studios,0.42,0.33,0,0.14,0.9
LittleBigPlanet Karting,2012,Action,Sony Computer Entertainment,0.42,0.32,0.01,0.15,0.9
Call of Juarez: Bound in Blood,2009,Shooter,Ubisoft,0.35,0.38,0.01,0.16,0.89
The Jak and Daxter Collection,2012,Platform,Sony Computer Entertainment,0.6,0.19,0,0.1,0.89
Tekken Tag Tournament 2,2012,Fighting,Namco Bandai Games,0.28,0.33,0.13,0.14,0.88
Mercenaries 2: World in Flames,2008,Shooter,Electronic Arts,0.29,0.4,0.02,0.16,0.87
NCAA Football 13,2012,Action,Electronic Arts,0.82,0,0,0.06,0.87
Kingdoms of Amalur: Reckoning,2012,Role-Playing,Electronic Arts,0.37,0.3,0.09,0.11,0.87
Beijing 2008,2008,Sports,Sega,0.14,0.54,0.01,0.18,0.87
